seed,model,stress_type,stress_rate,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,auc_macro_ovr,n_samples,mean_r_target,mean_observed_missing,mean_observed_implausibility,mean_reliability,std_reliability,corr_reliability_r_target,corr_reliability_missing,corr_reliability_implausibility,mae_reliability_target,f1_macro_ci95_low,f1_macro_ci95_high
123,ViT Image-Only,missing,0.75,0.6102150537634409,0.5785444908153908,0.7364040379831331,0.615687000942751,0.8111582847568469,0.6102150537634409,0.6447637668481655,0.9347039260369089,1488,0.24932795763015747,0.7506720423698425,0.37533602118492126,,,,,,,0.5758617388296723,0.6519147703404868
123,ViT Image-Only,corruption,0.0,0.6102150537634409,0.5785444908153908,0.7364040379831331,0.615687000942751,0.8111582847568469,0.6102150537634409,0.6447637668481655,0.9347039260369089,1488,0.9932795763015747,0.006720430217683315,0.0033602151088416576,,,,,,,0.5758617388296723,0.6519147703404868
123,ViT Image-Only,corruption,0.25,0.6102150537634409,0.5785444908153908,0.7364040379831331,0.615687000942751,0.8111582847568469,0.6102150537634409,0.6447637668481655,0.9347039260369089,1488,0.8995295763015747,0.0051523298025131226,0.09789426624774933,,,,,,,0.5758617388296723,0.6519147703404868
123,ViT Image-Only,corruption,0.5,0.6102150537634409,0.5785444908153908,0.7364040379831331,0.615687000942751,0.8111582847568469,0.6102150537634409,0.6447637668481655,0.9347039260369089,1488,0.8098118305206299,0.0031362008303403854,0.18862009048461914,,,,,,,0.5758617388296723,0.6519147703404868
123,ViT Image-Only,corruption,0.75,0.6102150537634409,0.5785444908153908,0.7364040379831331,0.615687000942751,0.8111582847568469,0.6102150537634409,0.6447637668481655,0.9347039260369089,1488,0.7138217687606812,0.0013440860202535987,0.2855062484741211,,,,,,,0.5758617388296723,0.6519147703404868
123,Prior Fusion,missing,0.0,0.6397849462365591,0.5749823513029498,0.7397148598080905,0.6207787669288172,0.8106069148648628,0.6397849462365591,0.6741909065845236,0.9369508504298262,1488,0.9932795763015747,0.006720430217683315,0.0033602151088416576,,,,,,,0.5759969598861693,0.6561411205264928
123,Prior Fusion,missing,0.25,0.6397849462365591,0.5749823513029498,0.7397148598080905,0.6207787669288172,0.8106069148648628,0.6397849462365591,0.6741909065845236,0.9371831786874733,1488,0.7408153414726257,0.2591845691204071,0.12959228456020355,,,,,,,0.5759969598861693,0.6561411205264928
123,Prior Fusion,missing,0.5,0.6404569892473119,0.5751243166268527,0.7398547786551591,0.6210164696284777,0.8107248271014873,0.6404569892473119,0.6748188937566938,0.9373884244861406,1488,0.4879032373428345,0.5120967626571655,0.25604838132858276,,,,,,,0.5762108207810464,0.6566295554100157
123,Prior Fusion,missing,0.75,0.6397849462365591,0.5749551236963164,0.7397148598080905,0.6207500968415622,0.810603879666792,0.6397849462365591,0.6741855578989097,0.9374487428867458,1488,0.24932795763015747,0.7506720423698425,0.37533602118492126,,,,,,,0.5758278061320363,0.6562575648705078
123,Prior Fusion,corruption,0.0,0.6397849462365591,0.5749823513029498,0.7397148598080905,0.6207787669288172,0.8106069148648628,0.6397849462365591,0.6741909065845236,0.9369508504298262,1488,0.9932795763015747,0.006720430217683315,0.0033602151088416576,,,,,,,0.5759969598861693,0.6561411205264928
123,Prior Fusion,corruption,0.25,0.6397849462365591,0.5749823513029498,0.7397148598080905,0.6207787669288172,0.8106069148648628,0.6397849462365591,0.6741909065845236,0.9374492861055695,1488,0.8995295763015747,0.0051523298025131226,0.09789426624774933,,,,,,,0.5759969598861693,0.6561411205264928
123,Prior Fusion,corruption,0.5,0.6391129032258065,0.5748131520786036,0.7395749409610218,0.6205122590132037,0.8104859372004232,0.6391129032258065,0.6735569216912524,0.9374574103440578,1488,0.8098118305206299,0.0031362008303403854,0.18862009048461914,,,,,,,0.575613827581236,0.6558849479702172
123,Prior Fusion,corruption,0.75,0.6404569892473119,0.5757151747405677,0.7398547786551591,0.621444606419285,0.8107949757830231,0.6404569892473119,0.6748547258186968,0.9375658972774242,1488,0.7138217687606812,0.0013440860202535987,0.2855062484741211,,,,,,,0.5765998509750305,0.6566863375232029
123,RG-MF,missing,0.0,0.6209677419354839,0.5625888913474263,0.6759551179536096,0.5781850126986893,0.8107257823481068,0.6209677419354839,0.6570286675201453,0.9208526290097778,1488,0.9932795763015747,0.006720430217683315,0.0033602151088416576,0.6045657992362976,0.009826816618442535,0.9518367844370108,-0.9518367980978548,-0.9518367980978548,0.39070039987564087,0.5381009565793625,0.6162829109515501
123,RG-MF,missing,0.25,0.6209677419354839,0.5625888913474263,0.6759551179536096,0.5781850126986893,0.8107257823481068,0.6209677419354839,0.6570286675201453,0.9207812822053919,1488,0.7408153414726257,0.2591845691204071,0.12959228456020355,0.5721583366394043,0.040397658944129944,0.7570755238962017,-0.7570755270504071,-0.7570755270504071,0.2419748157262802,0.5381009565793625,0.6162829109515501
123,RG-MF,missing,0.5,0.6209677419354839,0.5625888913474263,0.6759551179536096,0.5781850126986893,0.8107257823481068,0.6209677419354839,0.6570286675201453,0.9207943026238594,1488,0.4879032373428345,0.5120967626571655,0.25604838132858276,0.5440079569816589,0.04451706260442734,0.7100315629674815,-0.7100315651282876,-0.7100315651282876,0.22343683242797852,0.5381009565793625,0.6162829109515501
123,RG-MF,missing,0.75,0.6209677419354839,0.5625888913474263,0.6759551179536096,0.5781850126986893,0.8107257823481068,0.6209677419354839,0.6570286675201453,0.9207837246592446,1488,0.24932795763015747,0.7506720423698425,0.37533602118492126,0.5188844203948975,0.03901553153991699,0.7066038323410143,-0.7066038333924907,-0.7066038333924907,0.3153373897075653,0.5381009565793625,0.6162829109515501
123,RG-MF,corruption,0.0,0.6209677419354839,0.5625888913474263,0.6759551179536096,0.5781850126986893,0.8107257823481068,0.6209677419354839,0.6570286675201453,0.9208526290097778,1488,0.9932795763015747,0.006720430217683315,0.0033602151088416576,0.6045657992362976,0.009826816618442535,0.9518367844370108,-0.9518367980978548,-0.9518367980978548,0.39070039987564087,0.5381009565793625,0.6162829109515501
123,RG-MF,corruption,0.25,0.6209677419354839,0.5625888913474263,0.6759551179536096,0.5781850126986893,0.8107257823481068,0.6209677419354839,0.6570286675201453,0.9210620555195966,1488,0.8995295763015747,0.0051523298025131226,0.09789426624774933,0.5976980924606323,0.01462702639400959,0.9193768223797734,-0.5022143173823083,-0.8714363141538433,0.3125839829444885,0.5381009565793625,0.6162829109515501
