seed,gate_mode,stress_type,stress_rate,accuracy,f1_macro,mean_reliability,mean_r_target,corr_reliability_r_target
123,no_gate,missing,0.5,0.6209677419354839,0.5781175234578261,1.0,0.4879032373428345,
123,no_gate,missing,0.75,0.6209677419354839,0.5781175234578261,1.0,0.24932795763015747,
123,no_gate,corruption,0.0,0.6196236559139785,0.5768305219942027,1.0,0.9932795763015747,
123,no_gate,corruption,0.25,0.6202956989247311,0.5779023555834695,1.0,0.8995295763015747,
123,no_gate,corruption,0.5,0.6196236559139785,0.5776873761867823,1.0,0.8098118305206299,
123,no_gate,corruption,0.75,0.6202956989247311,0.5779701755085102,1.0,0.7138217687606812,
123,static_mean,missing,0.0,0.6196236559139785,0.5768305219942027,0.9932795763015747,0.9932795763015747,0.5139702188904584
123,static_mean,missing,0.25,0.6209677419354839,0.5781175234578261,0.7408154606819153,0.7408153414726257,0.2606001226567684
123,static_mean,missing,0.5,0.6209677419354839,0.5781850126986893,0.4879032373428345,0.4879032373428345,0.26453675303913715
123,static_mean,missing,0.75,0.6209677419354839,0.5781850126986893,0.24932797253131866,0.24932795763015747,0.23853991273870656
123,static_mean,corruption,0.0,0.6196236559139785,0.5768305219942027,0.9932795763015747,0.9932795763015747,0.5139702188904584
123,static_mean,corruption,0.25,0.6202956989247311,0.5779023555834695,0.8995295763015747,0.8995295763015747,0.25008606954814544
123,static_mean,corruption,0.5,0.6202956989247311,0.5779023555834695,0.8098118305206299,0.8098118305206299,0.2701283652945908
123,static_mean,corruption,0.75,0.6202956989247311,0.5779701755085102,0.7138217687606812,0.7138217687606812,0.2655096934870803
2025,full,missing,0.0,0.6535117056856188,0.6621501343362193,0.5687299966812134,0.9892976880073547,0.9163798894631728
2025,full,missing,0.25,0.6535117056856188,0.6621501343362193,0.5616471767425537,0.7467111945152283,0.48953612200676994
2025,full,missing,0.5,0.6535117056856188,0.6621501343362193,0.5551828145980835,0.5021181702613831,0.42275130571267444
2025,full,missing,0.75,0.6535117056856188,0.6621501343362193,0.5500065088272095,0.2613155245780945,0.3545999845167276
2025,full,corruption,0.0,0.6535117056856188,0.6621501343362193,0.5687299966812134,0.9892976880073547,0.9163798894631728
2025,full,corruption,0.25,0.6535117056856188,0.6621501343362193,0.5626221895217896,0.8985507488250732,0.9177973553799684
2025,full,corruption,0.5,0.6535117056856188,0.6621501343362193,0.5555335879325867,0.796655535697937,0.9271468100588525
2025,full,corruption,0.75,0.6528428093645485,0.6619444191460833,0.549079179763794,0.703567385673523,0.9261475475550457
2025,availability_only,missing,0.0,0.6535117056856188,0.6621501343362193,0.5007737278938293,0.9892976880073547,0.7764535054516608
2025,availability_only,missing,0.25,0.6535117056856188,0.6621501343362193,0.49669772386550903,0.7467111945152283,0.26064759398936754
2025,availability_only,missing,0.5,0.6535117056856188,0.6621501343362193,0.49462735652923584,0.5021181702613831,0.10841003705168512
2025,availability_only,missing,0.75,0.6535117056856188,0.6621501343362193,0.4944547712802887,0.2613155245780945,0.01705886866012786
2025,availability_only,corruption,0.0,0.6535117056856188,0.6621501343362193,0.5007737278938293,0.9892976880073547,0.7764535054516608
2025,availability_only,corruption,0.25,0.6535117056856188,0.6621501343362193,0.5008620619773865,0.8985507488250732,0.2622744848240187
2025,availability_only,corruption,0.5,0.6535117056856188,0.6621501343362193,0.5009611248970032,0.796655535697937,0.17675154996994583
2025,availability_only,corruption,0.75,0.6535117056856188,0.6621501343362193,0.5010187029838562,0.703567385673523,0.14924909838505754
2025,plausibility_only,missing,0.0,0.6535117056856188,0.6621501343362193,0.5689322352409363,0.9892976880073547,0.9883144597041948
